	questionText	intent	answerText
133	I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something.	depression	Sounds like a sign of great unhappiness, or sadness, or insecurity.The real way you'll find out what this feeling is about is to ask yourself your own question.  Inside you are the only one who will feel when you discover the true answer to your question.Everyone feels some amount of discontent in their lives once in a while. Its normal to not feel entirely happy all the time.Try to accept your unhappiness as motivation to learn more about who you are, what you like, whom you like.Study yourself bc this way you increase the chance to find a road which feels right and happy.
134	"I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly.
   I can't get over the loss of a loved one and I'm not close to my family. What can I do?"	depression	Trust and believe your own feelings.Emotions are real and reflect how someone feels about a situation.Since you're sad about losing a loved one, be patient w your feelings about this.  Basically, be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones.
152	I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.	depression	First of all, I can tell that you really care about your friend and I think it's great that you are reaching out with your concern. It's hard to determine whether your friend would meet the criteria for an official diagnosis of depression without working with him, however, whether he does or not, therapy may be beneficial for him in working through these difficult feelings and relational challenges. Unfortunately, you can't make your friend get help. He will ultimately need to make that decision for himself, however, you can talk to him about your concerns and your hopes that he will reach out for help.
155	When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.	depression	"Feelings are real, is very unlikely that you are making them up since they are a response to the thoughts in your mind and your daily experiences and interactions. Often we assume that feeling sadness is bad and that we should only feel happiness and joy; but all feelings have a purpose: joy, sadness, anger, frustration, excitement, anxiety, among others.   Is not healthy to experience the same feeling for a long time, so we should learn to identify what causes them and how to process them so you can navigate through life experiences with more ease. I am a Licensed Professional Counselor in Texas, currently providing services in West Houston.  You may reach me at 787-466-5478 to schedule an appointment.   ------------------------------------------------------------------------------------------------------------------------------------------Me he estado sintiendo tristeCuando salgo con una persona en particular o cuando llego a casa, estoy triste o irritado.  El sentimiento viene y va todo el día. No sé qué está mal.  No estoy seguro si estoy inventando los síntomas y problemas en mi cabeza o si algo realmente está mal. Los sentimientos son muy reales, y es muy poco probable que los estés inventando, por que los sentimientos son una respuesta tanto a los pensamientos que hay en nuestra cabeza, y, a las situaciones que nos ocurren día a día.  Muchas veces pensamos que sentirnos triste está mal, y que solo debemos sentirnos alegres, pero todas las emociones tienen un propósito y razón de ser, tanto la alegría, como la tristeza, el coraje, la frustración, la excitación o el desespero, entre otros.  No es bueno quedarnos estancados una emoción.  Así que es importante aprender a identificar que causa nuestros sentimientos, como procesarlos para poder superar nuestras emociones y movernos de una experiencia a otra con más tranquilidad. 
Soy Consejera Profesional Licenciada en Texas y Puerto Rico, veo clientes en el este de Houston y proveo servicios de tele terapia.  Para una cita puedes llamar al 787-466-5478."
156	I am a teenager. I have been experiencing major episodes of depression (if that's even what it is) for several years. It’s always getting worse. I have been having panic attacks, feeling like I can't control my fears, and I can't even bring myself to care if I live or die anymore. The problem is that I don't know who to ask for help. When I try to talk to my parents, I freeze completely and can't do anything but make a joke because never once in my life have we talked about our feelings.	depression	"I understand that talking about our feelings can be awkward and using jokes is a way to relieve that awkwardness, but there is a right or wrong way to talk about your feelings. The important part is to recognize that you need help addressing those feelings and reaching out, which you are doing already.  Having small conversations with your family is helpful, you can explain to them that you have been experiencing emotional discomfort and would like to talk to them about it.   Since you been experiencing anxiety, panic attacks, and have thought about dying,  It is VERY important that you ask them to help you make an appointment with a mental health professional.  Those symptoms indicate that your body is having a hard time managing intense feelings and it will be helpful if you understand why they occur and how to cope with them. You may contact your school counselor or you may schedule an appointment with a local therapist.  You may contact the Texas Crisis Hotline 800-989-6884 where you can talk or chat with mental health professionals or schedule a teletherapy session.   The National Crisis Hotline is also available for calling and texting 1-800-273-8255.I am a Licensed Professional Counselor in Texas, currently providing services in West Houston.  You may reach me at 787-466-5478 to schedule an appointment.   ------------------------------------------------------------------------------------------------------------------------------------------¿Cómo hablo de mis sentimientos de depresión y con quién hablo?Soy un adolecente.  He estado experimentando episodios de depresión severa (si es lo que creo) por muchos años.  Siempre se pone peor.  He estado teniendo ataques de pánico, sintiendo que no puedo controlar mis miedos y sintiendo que ya no importa si quiero vivir o morir.  El problema es que ya no sé a quién pedirle ayuda.  Cuando intento hablar con mis padres, Me congelo y solo puedo hacer bromas porque nunca en mi vida hemos hablado de nuestros sentimientos. Entiendo que hablar de tus emociones puede hacernos sentir inadecuados, y bromear es una manera de manejar ese sentimiento incómodo, pero no hay forma correcta o incorrecta de hablar sobre tus sentimientos.  Lo importante es reconocer que necesitas ayuda para manejarlos, y ya tu estas en ese proceso.  Tener pequeñas conversaciones con tu familia te ayudara a explicarles los sentimientos que estas experimentando.  Es importante que les pidas hacer una cita con un profesional de la salud mental, ya que has estado experimentando síntomas que indican que tu cuerpo ya no puede manejar tus sentimientos y necesita nuevas herramientas.  Puedes contactar a tu consejero escolar, o a un proveedor de salud mental cerca de ti o por teléfono.  Mientras tanto, puedes llamar a la línea de crisis de Texas 800-989-6884 para hablar con un profesional de salud mental.  La línea nacional de crisis también esta disponible en todos los Estados Unidos y proveen servicios en español 1-800-273-8255
Yo soy una Consejera Profesional Licenciada en Texas y Puerto Rico, veo clientes en el este de Houston y proveo servicios de tele terapia.  Para una cita puedes llamar al 787-466-5478."
157	I feel lazy and numb. I have no interest in things.	depression	"Maybe right now it is time for you to rest before the next wave of new activity comes along.To have ""no interest"" may mean you are already so saturated with recent situations and their meaning that you are naturally withdrawing in order to regain your energy."
160	In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.	depression	Definitely it is sad to lose friends who are a regular part of daily life.How did you meet the two friends who just moved away?   Its possible that you could look for similar situations and see if anyone catches your interest to know as a friend.Keeping in mind that friendship is based on trust and common interests, and that these qualities require time to observe and develop, think of what you can do to keep happy while these paths unfold.In addition to being open to meeting new friends, involve yourself in projects from which you'll feel satisfied by your own results.
161	I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.	depression	I am so very sorry for how pressured and sad you feel right now.Definitely all family members have an effect on the other ones.From what you write, your family members are not considering the effect their negative comments have on you.Also, keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem. You are not in control of the other people in your family.More likely they take the easy way out and blame you for what they don't want to know about themselves.Stay aware that the family's decision to target you doesn't mean that you are doing something wrong.   Certainly your existence is not wrong, which is the degree to which the unfairness seems to have spread.What to do about it is read about family systems to see more explanations on how you are being unfairly treated.Also stay in touch with friends bc these are the people who value and respect you.
171	I'm constantly in a bad mood and I have no energy. Is that depression?	depression	"Depression has many different signs and symptoms and looks different for every person.  Often times people think depression is more about feeling ""sad,"" but depression can, in fact, express itself through irritability (or bad mood as you say) and lack of energy.  According to the DSM-V (Diagnostic and Statistical Manual of Mental Disorders), depression includes the following symptoms:-Depressed mood-Irritable mood-Decreased interest or pleasure in activities you usually participate in or enjoy-Significant weight change or change in appetite-Change in sleep (insomnia or hypersomnia)-Psychomotor aggitation or retardation-Fatigue or loss in energy -Feelings of worthlessness or excessive guilt-Diminished ability to concentrate or indecisiveness-Thoughts of suicide or plan The great news is that there are many ways to improve depressive symptoms.  If you are up for it, perhaps the best place to start is by seeing a physician or a therapist who can help determine how severe the depression is and can suggest methods of addressing the depression that fit your lifestyle, values, and capabilities.  Good luck!"
181	"I'm a teenager and I I go through periods of moodiness. I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless.
   I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships. I also don't know who I am as a person. I'm not happy overall, but I'm not suicidal. Can I just feel happy?"	depression	Sometimes the way to feel happy is to address all the questions you just described.Teenage years are the first time any of us starts to feel and recognize our uniqueness.  The fact that you recognize your great range of feelings, as uncomfortable as they may sometimes be, is healthy.Also healthy is that you are asking for opinions of therapists who would be familiar with when a range of feelings shows an out of the ordinary problem.One path to take is to reflect on the topics you wrote here and especially to ask yourself your reasons for how the problem started and what it would take for it to resolve.Do you have trust issues because someone broke your trust? You're entitled to a repair of your trust by the other person.   Even if the person never offers this to you, to know you deserve to be restored to whole, may help you feel more secure.The same is true with the other topics, abandonment and relationships generally.The more you continue to value your unique understanding, expectations, and standards, the more likely you'll create relationships which do not have these qualities, and you will restore your sense of hope that other people may treat you in a fair and kind way.
